label,text,human_attention
0,"5/9/2013-  Terrible Service and food!
We had the waitress who wore the hot pink lipstick.  After we were seated took hot pink, 25 minutes to come back to take our order.  I ordered the grilled marinated shrimp-just ok.  My husband ordered the lamb sandwich, next remove the fat and use more meat and the flatbread was stale.  This was not worth the one hour and twenty minutes.  We will never come back again and would not recommend the to anyone.   You are over rated.  Yuck! 
PS the free Thursday crepe dessert (apple streusel) was never served to us as ordered.",0 3 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 1 2 2 2 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 2 1 3 0 0 3 3 1 2 2 1 2 2 0 1 3 3 3 2 0 2 3 3 0 1 1 0 0 3 3 3 0 0 0 0 0 0 0 0 1 2 2 1 1 2 2
0,"A case of the least evil. Soup for the pho is great but they really rip you off on the meat.  Last time, i ordered the deluxe, the $12 pho with all of the above expecting what i thought i paid for. One piece of each meat.  And I mean one.  I love the broth don't get me wrong, but there needs to be some sort of reasonable proportion and paying $12 for just straight soup and noodles doesn't do it for me. 

Rip off, but what other choice do we have? Pho in pittsburgh as a whole is awful.",0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 3 3 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1,"A colleague tipped me off to Jjanga...and he wasnt kidding! We sat at the bar(imo the only way to eat ayce) and we just let the chefs know what we didn't want, and they went to town! If you do this I think tipping early helps get the best dishes. The sashimi was beautiful, not what you would expect from all you can eat spot. I live in Portland and this place would ruin all places where i live. I may have to come back tomorrow;) 
Dinner was $25.95 and it gives you free reign over the entire menu. Enjoi!",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"A friend of mine told me about th is place to eat the best shrimp rice.
When I got there with my girls we got greeted at the door, very nice. We sat by the bar a young man very happy and cheerful great us, I made my order of the shrimp rice, some pork dumplings. I ask the cook his name with a smile he said his name was ""Giovanni"" I was impress of this guy ability to cook he made the best shrimp rice. When it came to the bill very affordable I had a great experience. ...AWSOME..",0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 2 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 2 1 1 0 0 0 0 0 1 3 3 0 0 0 3 2 3
1,"A good place to try if you are looking for something a little different. Yes, most of the people who frequent have a hippy vibe and you feel that when you walk in but everything in this place is delicious. Most of the food is vegetarian/vegan but it is high quality and I have never had anything to complain about. The coffee is amazing (but a bit expensive) and the inside is large enough that you can grab a table and hang out for awhile. I suggest to all of my friends to give it a try before passing judgement.",0 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
1,"A great find. Famous for their sliders and hotdogs. A few favorites of mine are the frito pie. Basically a bag of fritos opened up with chili, cheese, and onions poured on top. Their banana milk shake is devine. The fish sandwich is pretty good too. Its nothing fancy just plain old delicious fattening Chicago style food. The owner is always there and is one of the coolest guys around. The place is decked out in Chicago sports posters, pictures, banners, etc. Anytime I can support a cool local restranteur and get good food EVERYtime I am down for it.",1 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 0 0 0 0 1 1 0 0 0 0 1 2 2 3 1 1 1 1 0 1 1 1 1 0 0 1 1 1 2 2 2 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 2 1 1 1 1 1 1 1
0,"A group of friends and I dined here on a Thursday night. The restaurant was half empty and we were seated at a comfy booth right away. Unfortunately, service for our group was neglected and we waited twenty minutes for drinks. The $18+ burgers half of the table ordered were over cooked and my Reuben (I love reubens!) was overloaded and saturated with sauerkraut; masking the flavor of the beautiful rye bread and shaved corned beef. This sandwich was incredibly inedible. The atmosphere was pleasant and it was unfortunate that our experience was unpleasant. I would not dine here again.",0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 1 3 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 1 2 2 0 0 1 0 0 0 1 3 0 3 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 1 1 2 3 0 0 0 0 0 0 0 2 0 0 2 1 3 0 1 3 3 2 3
0,"A group of friends and I were here on 7/28 and we were all disappointed with our experience. Service was on point but the majority of us thought the food was a joke.

Lobster rolls looked extremely appetizing.. but had little to no flavor.
Wings.. you can tell that these wings were definitely fried for way too long and have been sitting for a bit. Flavor? Waaaay overly salty. Everyone that ordered wings didn't end up finishing them.
Sliders.. I've had better from Dennys unfortunately.

This was a first at a Gordon Ramsay restauraunt and may honestly be a last.",0 1 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 3 2 2 3 1 1 0 0 0 0 0 2 1 3 3 1 0 0 0 0 0 1 0 1 2 1 1 2 2 0 0 0 1 1 1 1 0 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1
1,"A large group of my friends ate here before the Billy Joel concert and wine tasting a couple weeks ago and the service was AH-mazing! This place has high-end comfort/bar food and it didn't let us down. The servers were on point with checking in on our needs without being overly attentive. We had one minor issue and ""Hancock"" handled it immediately! he was such a character and made sure we were taken care of and even came and checked on us before we were finished.  My only disappointment was that I forgot to order the gourmet pop tart! hahaha!",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"A large group of us reserved a table for a girls night out. Our service was so incredibly slow it was ridiculous. It took them 20 minutes to bring us drinks, and not all of us at once, maybe 3 or 4 at a time. The food was lukewarm and tasted like it came out of a can. There was also an admin fee added to our check. When we asked what it was we were told it was a fee for them going through the trouble of reserving us a table.  Way too expensive, poor service, and bad food.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 3 3
1,"A truly unique dining experience. Both the drink menu and food menu items are extremely well thought out and creative. Whenever we go we end up spending hours there without realizing it. The food is delivered as it is ready and it is the type of place where you share plates. Every server we have had has been very warm and accommodating. I recommend the bacon jam, the green beans, the beef sliders and the mac n cheese. You can expect a wait to be seated, but the place has two bars and there are several others on the block.",0 0 3 2 2 0 0 0 0 0 0 0 0 0 3 3 3 2 1 3 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"Absolutely terrible service and took forever in the drive thru! There were 3 people ahead of me so not terrible, took me a few minutes to place my order which is understandable, however once I got to the window, they somehow forgot to place my order and I had to wait 5 more minutes just for my order. When I asked what happened the lady said we didn't put it in, no apology took my payment and closed the window, only reason they get 2 stats is because food was fresh, it better be after the long wait. Very frustrating",1 3 3 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 3
0,"Absolutely terrible. Waited an hour and a half, called,  and were told our pizza was done but it wouldn't be delivered for another hour. We changed to carry out and went to pick it up. When we pulled in,  the Monical's delivery car was down the street delivering another pizza.  Why he could not take both at the same time,  I don't know. We finally got to eat and the pizza was already cold enough to need reheated and the breadsticks so stale it took the strength of ten men to pull them apart. My dog even found them inedible.",1 3 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 2
1,"After a less than stellar take out order, I was invited back by management. Thank you for that; glad I was. The two take out entrees of Camarones al Mojo de Ajo and the Cóctel de Elote were seasoned perfectly and were brought from the kitchen upon arrival for the to-go order rather than from behind the hostess area as it had been the last time. Flavors of lime, cumin and, of course garlic, blend together for just the right amount incredible flavor. Amazing food and just as amazing is their customer service. That was much appreciated, Julio and Katie.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 3 3 0 0 0 2 1 1 2 2 0 0 0 1 0 0 0
0,"Alright, I know The Gladstone is a Toronto landmark and a totally happening spot for all the hipsters in the city, but I totally don't get it. Every time I go here, it's just terrible drunken college kids belting out karaoke tunes with no sense of pitch or tone. The service is terrible and the bar itself is outdated and bland. 

Maybe its just me, but I think there are way better bars in West Queen West in which to get your drink on. I shant be returning here anytime soon, and my ears will certainly thank me for it.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 1 0 1 3 1 3 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0
1,"Always a fan of the ""food"" at Remedy's but the service is always mediocre if not horrible. Waitresses are usually never around and only are available to take your order and bring your food, and if your lucky bring you your check at their convenience.  Until tonight, had a pleasant dinning experience with Corinne who actually had a personality and chatted with my wife and I.  Corinne  took the time to talk to us and set up my RedCard for us as well. Very refreshing to meet her and will be returning ""ONLY"" because of our experience tonight with Corinne.",0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"Always get the weirdest service here. It is strangely slow for how busy it seems. I am writing this review because I attempted take out and received awful service. My order which I viewed on the line sitting for 11 minutes was finally given to me after the guy realized that he ""effed up"" and yes he actually dropped the f bomb. Apparently abandoning food isn't worthy of taking ownership in an appropriate way. Manager please reach out. I know you spoke with me that night and referred me to this foul mouthed individual with a beard handling cold food.",0 0 0 3 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 2 2 0 3 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 2 2 2 2
0,"Another bad place..but it was more likely my bad choice. The veggie delight was a very undelightful mix of mozzarella,  lettuce and roasted red peppers and sun dried tomatoes that nearly cut my mouth. The pita bread broke apart while eating spilling all the nasty ingredients onto the unclean table and there were flies hanging out all over the joint as well. Too many choices of bad stuff and why is the counter guy handing me samples with his tongs straight onto my hand? College kids probably like this place..but any adult should know better and try a real restaurant.",1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 2 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"Anyone who really enjoys this place has no clue what good gyros are. First, my party sat there for an hour waiting on our food. They lost our order!! They did not offer to comp the meal; ridiculous! After eating lunch it was not worth being assertive because I knew we would not be back. Even the rice was ""off."" White rice with tomato sauce??? I missed the usual yellow rice. Disappointing that the ice tea was not brewed. I did like the side salad. I should mention that my chicken gyros was not gyros at all; thinly sliced chicken.",0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 2 2 2 2 2 3 1 1 1 1 2 2 2 0 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"Are you kidding me!? We come from the land of pizza in the California bay area (of course we'll get arguments on that from Chicago and New York) but this place is simply the best. What they do with ricotta cheese on a pizza is amazingly delicious! And, if you're lucky enough to get a great waiter like we did in J.P., it makes the meal just that much better. My only regret is that I only make it to Vegas once or twice a year so I might just have to campaign for a Grimaldi's  in the bay area.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 3 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"As a local, one of my favorite places to go. 2 happy hours and mojitos are amazing. The only reason I didn't give 5 star is the lack of big tv's, sorry but I am a big sports fan. Also I had been a long time costumer, I usually arrive alone to meet my husband later after work and the hostess stuff are far from friendly, is like if you arrive as a woman sitting at the bar does not deserve to be greated!!!. The rest of the stuff are very friendly, from servers to bartenders to supervisors on duty.:).",0 0 0 0 0 0 2 1 1 1 0 1 1 0 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1 0 1 0 0
