label,text,human_attention
0,"$18.95 per person....Was really hungry for lunch and didn't want to leave the hotel mid day in Vegas.  Not worth it! Furr's cafeteria or hometown buffet is actually better than this place....REALLY! Don't eat here! Their ""chinese food line was mostly salt; the prime rib is tougher than the sole of my shoe. You'd probably enjoy fastfood better in this instance.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 3 3 1 0 0 0 0 0 2 2 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

ONE WEEK LATER

*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

And today, the same thing happened. Frankly, I am appalled at The Village Melt. Closing a restaurant early?!?!!?????? YOU CANT DO THAT. All I wanted was a strawberry milkshake. Disappointed.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0,"1. Happy hour pricing is only available in the upstairs area where they don't allow anyone under 21 (even though there is family friendly table seating) or on the patio with the broken heater. 

2. Food is not even that great. 

3. The indoor decor is outdated and run down. 

There are better spots in the area to eat. I recommend to skip this place all together.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 2 0 0 0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 2 2 3 2 2 0 0
0,20 Minute wait per dish. Never coming here again. Food is decent but if it takes this long who is going to wait. I got sick of waiting I left in the middle and went to a different restaurant. You CANNOT make people wait this long and expect people to be happy.,0 0 0 0 0 3 3 2 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"2nd time eating here, We drive 35 miles from Henderson to enjoy this ""Divine Eatery"". I ordered the chorizo Breakfast Burrito, It was fantastic. The food is fresh as the potatoes are cooked to order.  The 1st time we went I had the bacon Cheeseburger, it put all Cheeseburgers to shame. This will be a frequent place to visit. Worth the drive!! Thank you!",1 1 1 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 1 3 0 2 1 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 3 2 2 0 0
1,A downtown gem! When you work downtown and you're limited with choices in healthy decisions to find a place like Grass Roots is a blessing.  Small but quant and helpful staff. Wishing this place a long lasting stay in downtown Vegas. My holy alkaline is amazing and my co-workers watermelon mint with super berry boost in both were a juicing persons dream.,0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0
1,"A fantastic breakfast/deli joint located in a strip mall (isn't everything here though?). Great selection of hot and cold sandwiches, scrambles, salads, and real bagels. My personal favorite: the Trifecta Salad Sampler, with a scoop of tuna salad, to die for egg salad, and chicken salad on a bed of romaine, with freshly sliced cucumber, avocado and tomato. Get in line, order, grab a table and enjoy the hustle and bustle atmosphere.",0 3 1 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
0,A group of us were excited to check out the new restaurant.  We were shocked as the food was terrible!  It was very bland and had no taste.  The staff was also extremely rude to our table.  One of our party emailed the owner and he never responded.  I will NEVER eat here again.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 2 2 0 0 2 2 0 2 1 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 3 2 1 2
0,A measly amount of rice and beans for 10 bucks. Seriously? I thought I'd get a little bit more than that. Probably cost them 2 dollars at most and I was still really hungry after I finished. I'm a very small girl so this is a hard feat to accomplish. And my friend's pot pie had so much pork fat in it he was still hungry after he finished. Really expected more.,1 4 2 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 1 1
0,"A violently red coloured Pad Thai. It tasted like they used sweet and sour sauce and are tryung to pass it off as Pad Thai. Tasted one bite and did not want anymore! 

The mi goreng was ok but nothing special. I don't see how anyone can rate above 2 stars here.",0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 1 1 0
0,"Above average scallop dinner, however surprised when I receive a bill for $16 beer. I was asked when seated if I wanted small, medium or large, I went with medium. When questioning the $16 charge, I was told this was because I can keep the glass.  I don't want a cheap glass to take home, I want a reasonably priced beer.",1 2 0 0 0 2 1 1 1 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
0,"Above- average food with mediocre-below average service. For such a highly-rated, upscale restaurant, I was disappointed. The waiter forgot one of our dishes (we only ordered 4 things!), didn't bring out a beverage until after a meal was served, and was overall not helpful. Maybe wait-staff was having an off-day but, the food itself was only above- average and at that price point, I was expecting more.",0 0 0 0 1 1 1 0 0 0 0 0 0 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2
0,"Absolute GARBAGE!  The waiter bragged how they were better than Texas De Brazil which is actually comical. Service was horrible, food was cafeteria quality at best and NEVER do a Groupon there as they have some tiny print that says you need 4 full paying customers to use it at $50 a pop.  Worst seafood ever...Imagine eating at Dennys for $50 a plate!  Save your money...trust me on this.",0 4 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 2 2 0 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1,Absolutely delicious!! I started off with a darkness of the moon cocktail and a save the tuna roll- both equally satisfying and unique! My main meal was the muchas gracias which was full of flavor and I had the chocolate sundae for dessert! Each thing was just as amazing as the last! My server Vanessa was very pleasant and made my lunch enjoyable and relaxing!,1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 4 0 4
0,Absolutely the rudest person I have ever come across while ordering food. I tried calling in an order and was basically yelled at for not ordering the way this guy thought I should order. The food will keep this place in business for a while but eventually these fools will run all of the business off. Beware of this place and it's horrible service..,1 0 3 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 3 3 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 1 1 1 0 0 3 3
0,"After asking politely, I could not get a ""to go"" espresso b/c it would change the way it was meant to be enjoyed.  While I completely appreciate a vision and holding to standards, I really just wanted an espresso to go.  You own the product, not the process in which I enjoy something.  You're just not that cool.  Cheers.",0 0 0 0 1 2 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 4 4 0
